t,vs_fpm,vcas_kts,alt_ft,nz,alpha_deg,pstick,throttle
3.15,3229.68,211.069,5778.73,1.20628,7.00704,0,0.458093
3.16667,3229.65,211.062,5779.63,1.20627,7.00745,0,0.458093
3.18333,3229.63,211.055,5780.53,1.20626,7.00786,0,0.458093
3.2,3229.61,211.048,5781.43,1.20625,7.00827,0,0.458093
3.21667,3229.58,211.04,5782.32,1.20624,7.00868,0,0.458093
3.23333,3229.56,211.033,5783.22,1.20623,7.00909,0,0.458093
3.25,3229.54,211.026,5784.12,1.20621,7.0095,0,0.458093
3.26667,3229.51,211.019,5785.01,1.2062,7.00991,0,0.458093
3.28333,3229.49,211.011,5785.91,1.20619,7.01032,0,0.458093
3.3,3229.47,211.004,5786.81,1.20618,7.01073,0,0.458093
3.31667,3229.45,210.997,5787.71,1.20617,7.01114,0,0.458093
3.33333,3229.42,210.99,5788.6,1.20616,7.01155,0,0.458093
3.35,3229.4,210.982,5789.5,1.20615,7.01196,0,0.458093
3.36667,3229.38,210.975,5790.4,1.20613,7.01237,0,0.458093
3.38333,3229.36,210.968,5791.29,1.20612,7.01278,0,0.458093
3.4,3229.34,210.961,5792.19,1.20611,7.01319,0,0.458093
3.41667,3229.31,210.953,5793.09,1.2061,7.0136,0,0.458093
3.43333,3229.29,210.946,5793.98,1.20609,7.01401,0,0.458093
3.45,3229.27,210.939,5794.88,1.20608,7.01442,0,0.458093
3.46667,3229.25,210.931,5795.78,1.20606,7.01483,0,0.458093
3.48333,3229.23,210.924,5796.68,1.20605,7.01524,0,0.458093
3.5,3229.2,210.917,5797.57,1.20604,7.01565,0,0.458093
3.51667,3229.18,210.91,5798.47,1.20603,7.01606,0,0.458093
3.53333,3229.16,210.902,5799.37,1.20602,7.01647,0,0.458093
3.55,3229.14,210.895,5800.26,1.20601,7.01688,0,0.458093
3.56667,3229.12,210.888,5801.16,1.20599,7.01729,0,0.458093
3.58333,3229.1,210.88,5802.06,1.20598,7.0177,0,0.458093
3.6,3229.08,210.873,5802.95,1.20597,7.01811,0,0.458093
3.61667,3229.05,210.866,5803.85,1.20596,7.01852,0,0.458093
3.63333,3229.03,210.859,5804.75,1.20595,7.01893,0,0.458093
3.65,3229.01,210.851,5805.65,1.20593,7.01934,0,0.458093
3.66667,3228.99,210.844,5806.54,1.20592,7.01975,0,0.458093
3.68333,3228.97,210.837,5807.44,1.20591,7.02016,0,0.458093
3.7,3228.95,210.829,5808.34,1.2059,7.02057,0,0.458093
3.71667,3228.93,210.822,5809.23,1.20589,7.02098,0,0.458093
3.73333,3228.91,210.815,5810.13,1.20587,7.02139,0,0.458093
3.75,3228.88,210.808,5811.03,1.20586,7.0218,0,0.458093
3.76667,3228.86,210.8,5811.92,1.20585,7.02222,0,0.458093
3.78333,3228.84,210.793,5812.82,1.20584,7.02263,0,0.458093
3.8,3228.82,210.786,5813.72,1.20583,7.02304,0,0.458093
3.81667,3228.8,210.778,5814.61,1.20581,7.02345,0,0.458093
3.83333,3228.78,210.771,5815.51,1.2058,7.02386,0,0.458093
3.85,3228.76,210.764,5816.41,1.20579,7.02427,0,0.458093
3.86667,3228.74,210.756,5817.31,1.20578,7.02468,0,0.458093
3.88333,3228.72,210.749,5818.2,1.20577,7.02509,0,0.458093
3.9,3228.7,210.742,5819.1,1.20575,7.0255,0,0.458093
3.91667,3228.68,210.734,5820,1.20574,7.02592,0,0.458093
3.93333,3228.66,210.727,5820.89,1.20573,7.02633,0,0.458093
3.95,3228.64,210.72,5821.79,1.20572,7.02674,0,0.458093
3.96667,3228.62,210.712,5822.69,1.2057,7.02715,0,0.458093
3.98333,3228.6,210.705,5823.58,1.20569,7.02756,0,0.458093
4,3228.58,210.698,5824.48,1.20568,7.02797,0,0.458093
4.01667,3228.56,210.69,5825.38,1.20567,7.02838,0,0.458093
4.03333,3228.54,210.683,5826.27,1.20566,7.0288,0,0.458093
4.05,3228.52,210.676,5827.17,1.20564,7.02921,0,0.458093
4.06667,3228.5,210.668,5828.07,1.20563,7.02962,0,0.458093
4.08333,3228.47,210.661,5828.96,1.20562,7.03003,0,0.458093
4.1,3228.45,210.654,5829.86,1.20561,7.03044,0,0.458093
4.11667,3228.43,210.646,5830.76,1.20559,7.03086,0,0.458093
4.13333,3228.41,210.639,5831.65,1.20558,7.03127,0,0.458093
4.15,3228.39,210.632,5832.55,1.20557,7.03168,0,0.458093
4.16667,3228.37,210.624,5833.45,1.20556,7.03209,0,0.458093
4.18333,3228.35,210.617,5834.35,1.20554,7.0325,0,0.458093
4.2,3228.33,210.61,5835.24,1.20553,7.03292,0,0.458093
4.21667,3228.31,210.602,5836.14,1.20552,7.03333,0,0.458093
4.23333,3228.3,210.595,5837.04,1.20551,7.03374,0,0.458093
4.25,3228.28,210.588,5837.93,1.20549,7.03415,0,0.458093
4.26667,3228.26,210.58,5838.83,1.20548,7.03457,0,0.458093
4.28333,3228.24,210.573,5839.73,1.20547,7.03498,0,0.458093
4.3,3228.22,210.565,5840.62,1.20546,7.03539,0,0.458093
4.31667,3228.2,210.558,5841.52,1.20544,7.03581,0,0.458093
4.33333,3228.18,210.551,5842.42,1.20543,7.03622,0,0.458093
4.35,3228.16,210.543,5843.31,1.20542,7.03663,0,0.458093
4.36667,3228.14,210.536,5844.21,1.20541,7.03704,0,0.458093
4.38333,3228.12,210.529,5845.11,1.20539,7.03746,0,0.458093
4.4,3228.1,210.521,5846,1.20538,7.03787,0,0.458093
4.41667,3228.08,210.514,5846.9,1.20537,7.03828,0,0.458093
4.43333,3228.06,210.507,5847.8,1.20536,7.0387,0,0.458093
4.45,3228.04,210.499,5848.69,1.20534,7.03911,0,0.458093
4.46667,3228.02,210.492,5849.59,1.20533,7.03952,0,0.458093
4.48333,3228,210.484,5850.49,1.20532,7.03994,0,0.458093
4.5,3227.98,210.477,5851.38,1.20531,7.04035,0,0.458093
4.51667,3227.96,210.47,5852.28,1.20529,7.04077,0,0.458093
4.53333,3227.94,210.462,5853.18,1.20528,7.04118,0,0.458093
4.55,3227.92,210.455,5854.07,1.20527,7.04159,0,0.458093
4.56667,3227.9,210.447,5854.97,1.20525,7.04201,0,0.458093
4.58333,3227.88,210.44,5855.87,1.20524,7.04242,0,0.458093
4.6,3227.86,210.433,5856.76,1.20523,7.04284,0,0.458093
4.61667,3227.84,210.425,5857.66,1.20522,7.04325,0,0.458093
4.63333,3227.82,210.418,5858.56,1.2052,7.04366,0,0.458093
4.65,3227.8,210.41,5859.45,1.20519,7.04408,0,0.458093
4.66667,3227.79,210.403,5860.35,1.20518,7.04449,0,0.458093
4.68333,3227.77,210.396,5861.25,1.20517,7.04491,0,0.458093
4.7,3227.75,210.388,5862.14,1.20515,7.04532,0,0.458093
4.71667,3227.73,210.381,5863.04,1.20514,7.04574,0,0.458093
4.73333,3227.71,210.373,5863.94,1.20513,7.04615,0,0.458093
4.75,3227.69,210.366,5864.83,1.20511,7.04657,0,0.458093
4.76667,3227.67,210.359,5865.73,1.2051,7.04698,0,0.458093
4.78333,3227.65,210.351,5866.63,1.20509,7.0474,0,0.458093
4.8,3227.63,210.344,5867.52,1.20508,7.04781,0,0.458093
4.81667,3227.61,210.336,5868.42,1.20506,7.04823,0,0.458093
4.83333,3227.59,210.329,5869.31,1.20505,7.04864,0,0.458093
4.85,3227.57,210.322,5870.21,1.20504,7.04906,0,0.458093
4.86667,3227.55,210.314,5871.11,1.20502,7.04947,0,0.458093
4.88333,3227.53,210.307,5872,1.20501,7.04989,0,0.458093
4.9,3227.51,210.299,5872.9,1.205,7.05031,0,0.458093
4.91667,3227.49,210.292,5873.8,1.20499,7.05072,0,0.458093
4.93333,3227.48,210.284,5874.69,1.20497,7.05114,0,0.458093
4.95,3227.46,210.277,5875.59,1.20496,7.05155,0,0.458093
4.96667,3227.44,210.27,5876.49,1.20495,7.05197,0,0.458093
4.98333,3227.42,210.262,5877.38,1.20493,7.05239,0,0.458093
5,3227.4,210.255,5878.28,1.20492,7.0528,0,0.458093
5.01667,3227.38,210.247,5879.18,1.20491,7.05322,0,0.458093
5.03333,3227.36,210.24,5880.07,1.20489,7.05363,0,0.458093
5.05,3227.34,210.232,5880.97,1.20488,7.05405,0,0.458093
5.06667,3227.32,210.225,5881.87,1.20487,7.05447,0,0.458093
5.08333,3227.3,210.218,5882.76,1.20486,7.05488,0,0.458093
5.1,3227.28,210.21,5883.66,1.20484,7.0553,0,0.458093
5.11667,3227.26,210.203,5884.56,1.20483,7.05572,0,0.458093
5.13333,3227.24,210.195,5885.45,1.20482,7.05614,0,0.458093
